,title,rating,year,actors,runtime,url
106,Brazil,7.9,1985,Jonathan Pryce;Kim Greist;Robert De Niro;Katherine Helmond,132,https://www.imdb.com//title/tt0088846/
111,Tampopo,8.0,1985,Ken Watanabe;Tsutomu Yamazaki;Nobuko Miyamoto;Kôji Yakusho,114,https://www.imdb.com//title/tt0092048/
112,Mishima: A Life in Four Chapters,8.0,1985,Ken Ogata;Masayuki Shionoya;Hiroshi Mikami;Junya Fukuda,120,https://www.imdb.com//title/tt0089603/
107,Esperando la carroza,8.1,1985,Luis Brandoni;China Zorrilla;Antonio Gasalla;Julio De Grazia,94,https://www.imdb.com//title/tt0089108/
110,Ran,8.2,1985,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu;Daisuke Ryû,162,https://www.imdb.com//title/tt0089881/
121,Hannah and Her Sisters,7.9,1986,Mia Farrow;Dianne Wiest;Michael Caine;Barbara Hershey,107,https://www.imdb.com//title/tt0091167/
114,Jean de Florette,8.0,1986,Yves Montand;Gérard Depardieu;Daniel Auteuil;Elisabeth Depardieu,120,https://www.imdb.com//title/tt0091288/
117,Kin-dza-dza!,8.0,1986,Stanislav Lyubshin;Evgeniy Leonov;Yuriy Yakovlev;Levan Gabriadze,135,https://www.imdb.com//title/tt0091341/
118,Manon des sources,8.0,1986,Yves Montand;Emmanuelle Béart;Daniel Auteuil;Hippolyte Girardot,113,https://www.imdb.com//title/tt0091480/
119,Tenkû no shiro Rapyuta,8.0,1986,Mayumi Tanaka;Keiko Yokozawa;Kotoe Hatsui;Minori Terada,125,https://www.imdb.com//title/tt0092067/
129,The Untouchables,7.9,1987,Kevin Costner;Sean Connery;Robert De Niro;Charles Martin Smith,119,https://www.imdb.com//title/tt0094226/
130,Matewan,7.9,1987,Chris Cooper;James Earl Jones;Mary McDonnell;Will Oldham,135,https://www.imdb.com//title/tt0093509/
124,Der Himmel über Berlin,8.0,1987,Bruno Ganz;Solveig Dommartin;Otto Sander;Curt Bois,128,https://www.imdb.com//title/tt0093191/
127,Au revoir les enfants,8.0,1987,Gaspard Manesse;Raphael Fejtö;Francine Racette;Stanislas Carré de Malberg,104,https://www.imdb.com//title/tt0092593/
125,Khane-ye doust kodjast?,8.1,1987,Babek Ahmed Poor;Ahmed Ahmed Poor;Khodabakhsh Defaei;Iran Outari,83,https://www.imdb.com//title/tt0093342/
138,Krótki film o zabijaniu,8.0,1988,Miroslaw Baka;Krzysztof Globisz;Jan Tesarz;Zbigniew Zapasiewicz,84,https://www.imdb.com//title/tt0095468/
139,Rain Man,8.0,1988,Dustin Hoffman;Tom Cruise;Valeria Golino;Gerald R. Molen,133,https://www.imdb.com//title/tt0095953/
140,Salaam Bombay!,8.0,1988,Shafiq Syed;Anjaan;Amrit Patel;Murari Sharma,113,https://www.imdb.com//title/tt0096028/
143,Akira,8.0,1988,Mitsuo Iwata;Nozomu Sasaki;Mami Koyama;Tesshô Genda,124,https://www.imdb.com//title/tt0094625/
144,Topio stin omihli,8.0,1988,Michalis Zeke;Tania Palaiologou;Stratos Tzortzoglou;Eva Kotamanidou,127,https://www.imdb.com//title/tt0096288/
148,My Left Foot: The Story of Christy Brown,7.9,1989,Daniel Day-Lewis;Brenda Fricker;Alison Whelan;Kirsten Sheridan,103,https://www.imdb.com//title/tt0097937/
149,Crimes and Misdemeanors,7.9,1989,Martin Landau;Woody Allen;Bill Bernstein;Claire Bloom,104,https://www.imdb.com//title/tt0097123/
150,Kiki's vliegende koeriersdienst,7.9,1989,Kirsten Dunst;Minami Takayama;Rei Sakuma;Kappei Yamaguchi,103,https://www.imdb.com//title/tt0097814/
152,Do the Right Thing,8.0,1989,Danny Aiello;Ossie Davis;Ruby Dee;Richard Edson,120,https://www.imdb.com//title/tt0097216/
146,Arabesk,8.1,1989,Sener Sen;Müjde Ar;Ugur Yücel;Necati Bilgiç,105,https://www.imdb.com//title/tt0263065/
159,Edward Scissorhands,7.9,1990,Johnny Depp;Winona Ryder;Dianne Wiest;Anthony Michael Hall,105,https://www.imdb.com//title/tt0099487/
155,Hamoun,8.0,1990,Pantea Bahram;Ezzatolah Entezami;Bita Farahi;Sedigheh Kianfar,120,https://www.imdb.com//title/tt0099729/
156,Dances with Wolves,8.0,1990,Kevin Costner;Mary McDonnell;Graham Greene;Rodney A. Grant,181,https://www.imdb.com//title/tt0099348/
158,Nema-ye Nazdik,8.3,1990,Hossain Sabzian;Mohsen Makhmalbaf;Abolfazl Ahankhah;Mehrdad Ahankhah,98,https://www.imdb.com//title/tt0100234/
157,Goodfellas,8.7,1990,Robert De Niro;Ray Liotta;Joe Pesci;Lorraine Bracco,146,https://www.imdb.com//title/tt0099685/
165,Pappa ante Portas,7.9,1991,Evelyn Hamann;Vicco von Bülow;Irm Hermann;Hans-Peter Korff,89,https://www.imdb.com//title/tt0102629/
160,Belle en het Beest,8.0,1991,Paige O'Hara;Robby Benson;Jesse Corti;Rex Everhart,84,https://www.imdb.com//title/tt0101414/
166,JFK,8.0,1991,Kevin Costner;Gary Oldman;Jack Lemmon;Walter Matthau,189,https://www.imdb.com//title/tt0102138/
161,Da hong deng long gao gao gua,8.1,1991,Gong Li;Jingwu Ma;Saifei He;Cuifen Cao,125,https://www.imdb.com//title/tt0101640/
167,Gu ling jie shao nian sha ren shi jian,8.4,1991,Chang Chen;Lisa Yang;Kuo-Chu Chang;Elaine Jin,237,https://www.imdb.com//title/tt0101985/
175,And Life Goes on...,7.9,1992,Farhad Kheradmand;Buba Bayour;Hossein Rezai;Hocine Rifahi,95,https://www.imdb.com//title/tt0105888/
168,Tito i ja,8.0,1992,Dimitrije Vojnov;Lazar Ristovski;Predrag 'Miki' Manojlovic;Anica Dobra,118,https://www.imdb.com//title/tt0105602/
172,Scent of a Woman,8.0,1992,Al Pacino;Chris O'Donnell;James Rebhorn;Gabrielle Anwar,156,https://www.imdb.com//title/tt0105323/
173,Aladdin,8.0,1992,Scott Weinger;Robin Williams;Linda Larkin;Jonathan Freeman,90,https://www.imdb.com//title/tt0103639/
169,Unforgiven,8.2,1992,Clint Eastwood;Gene Hackman;Morgan Freeman;Richard Harris,130,https://www.imdb.com//title/tt0105695/
184,Carlito's Way,7.9,1993,Al Pacino;Sean Penn;Penelope Ann Miller;John Leguizamo,144,https://www.imdb.com//title/tt0106519/
187,Jûbê ninpûchô,7.9,1993,Kôichi Yamadera;Emi Shinohara;Takeshi Aono;Osamu Saka,94,https://www.imdb.com//title/tt0107692/
188,Trois couleurs: Bleu,7.9,1993,Juliette Binoche;Zbigniew Zamachowski;Julie Delpy;Benoît Régent,94,https://www.imdb.com//title/tt0108394/
190,True Romance,7.9,1993,Christian Slater;Patricia Arquette;Dennis Hopper;Val Kilmer,119,https://www.imdb.com//title/tt0108399/
179,The Nightmare Before Christmas,8.0,1993,Danny Elfman;Chris Sarandon;Catherine O'Hara;William Hickey,76,https://www.imdb.com//title/tt0107688/
199,Once Were Warriors,7.9,1994,Rena Owen;Temuera Morrison;Mamaengaroa Kerr-Bell;Julian Arahanga,102,https://www.imdb.com//title/tt0110729/
200,Utomlennye solntsem,7.9,1994,Nikita Mikhalkov;Ingeborga Dapkunaite;Oleg Menshikov;Nadezhda Mikhalkova,135,https://www.imdb.com//title/tt0111579/
197,Pred dozhdot,8.0,1994,Katrin Cartlidge;Rade Serbedzija;Grégoire Colin;Josif Josifovski,113,https://www.imdb.com//title/tt0110882/
193,Andaz Apna Apna,8.1,1994,Aamir Khan;Salman Khan;Raveena Tandon;Karisma Kapoor,160,https://www.imdb.com//title/tt0109117/
195,Trois couleurs: Rouge,8.1,1994,Irène Jacob;Jean-Louis Trintignant;Frédérique Feder;Jean-Pierre Lorit,99,https://www.imdb.com//title/tt0111495/
