,Unnamed: 0,title,rating,year,actors,languages,runtime,url
37,130,Matewan,7.9,1987,Chris Cooper;James Earl Jones;Mary McDonnell;Will Oldham,English;Italian,135,https://www.imdb.com//title/tt0093509/
38,124,Der Himmel über Berlin,8.0,1987,Bruno Ganz;Solveig Dommartin;Otto Sander;Curt Bois,German;English;French;Turkish;Hebrew;Spanish;Japanese,128,https://www.imdb.com//title/tt0093191/
39,138,Krótki film o zabijaniu,8.0,1988,Miroslaw Baka;Krzysztof Globisz;Jan Tesarz;Zbigniew Zapasiewicz,Polish;English,84,https://www.imdb.com//title/tt0095468/
40,139,Rain Man,8.0,1988,Dustin Hoffman;Tom Cruise;Valeria Golino;Gerald R. Molen,English;Italian,133,https://www.imdb.com//title/tt0095953/
41,140,Salaam Bombay!,8.0,1988,Shafiq Syed;Anjaan;Amrit Patel;Murari Sharma,Hindi;English,113,https://www.imdb.com//title/tt0096028/
42,148,My Left Foot: The Story of Christy Brown,7.9,1989,Daniel Day-Lewis;Brenda Fricker;Alison Whelan;Kirsten Sheridan,English,103,https://www.imdb.com//title/tt0097937/
43,149,Crimes and Misdemeanors,7.9,1989,Martin Landau;Woody Allen;Bill Bernstein;Claire Bloom,English;Hebrew,104,https://www.imdb.com//title/tt0097123/
44,150,Kiki's vliegende koeriersdienst,7.9,1989,Kirsten Dunst;Minami Takayama;Rei Sakuma;Kappei Yamaguchi,Japanese;English,103,https://www.imdb.com//title/tt0097814/
46,155,Hamoun,8.0,1990,Pantea Bahram;Ezzatolah Entezami;Bita Farahi;Sedigheh Kianfar,Persian,120,https://www.imdb.com//title/tt0099729/
47,156,Dances with Wolves,8.0,1990,Kevin Costner;Mary McDonnell;Graham Greene;Rodney A. Grant,English;Sioux;Pawnee,181,https://www.imdb.com//title/tt0099348/
45,159,Edward Scissorhands,7.9,1990,Johnny Depp;Winona Ryder;Dianne Wiest;Anthony Michael Hall,English,105,https://www.imdb.com//title/tt0099487/
48,165,Pappa ante Portas,7.9,1991,Evelyn Hamann;Vicco von Bülow;Irm Hermann;Hans-Peter Korff,German,89,https://www.imdb.com//title/tt0102629/
49,160,Belle en het Beest,8.0,1991,Paige O'Hara;Robby Benson;Jesse Corti;Rex Everhart,English;French,84,https://www.imdb.com//title/tt0101414/
50,166,JFK,8.0,1991,Kevin Costner;Gary Oldman;Jack Lemmon;Walter Matthau,English;Spanish,189,https://www.imdb.com//title/tt0102138/
51,175,And Life Goes on...,7.9,1992,Farhad Kheradmand;Buba Bayour;Hossein Rezai;Hocine Rifahi,Persian,95,https://www.imdb.com//title/tt0105888/
52,168,Tito i ja,8.0,1992,Dimitrije Vojnov;Lazar Ristovski;Predrag 'Miki' Manojlovic;Anica Dobra,Serbian,118,https://www.imdb.com//title/tt0105602/
53,172,Scent of a Woman,8.0,1992,Al Pacino;Chris O'Donnell;James Rebhorn;Gabrielle Anwar,English,156,https://www.imdb.com//title/tt0105323/
54,184,Carlito's Way,7.9,1993,Al Pacino;Sean Penn;Penelope Ann Miller;John Leguizamo,English;Spanish,144,https://www.imdb.com//title/tt0106519/
55,187,Jûbê ninpûchô,7.9,1993,Kôichi Yamadera;Emi Shinohara;Takeshi Aono;Osamu Saka,Japanese,94,https://www.imdb.com//title/tt0107692/
56,188,Trois couleurs: Bleu,7.9,1993,Juliette Binoche;Zbigniew Zamachowski;Julie Delpy;Benoît Régent,French;Romanian;Polish,94,https://www.imdb.com//title/tt0108394/
59,197,Pred dozhdot,8.0,1994,Katrin Cartlidge;Rade Serbedzija;Grégoire Colin;Josif Josifovski,Macedonian;English;Albanian;French,113,https://www.imdb.com//title/tt0110882/
58,200,Utomlennye solntsem,7.9,1994,Nikita Mikhalkov;Ingeborga Dapkunaite;Oleg Menshikov;Nadezhda Mikhalkova,Russian;French,135,https://www.imdb.com//title/tt0111579/
57,199,Once Were Warriors,7.9,1994,Rena Owen;Temuera Morrison;Mamaengaroa Kerr-Bell;Julian Arahanga,English;Maori;Spanish,102,https://www.imdb.com//title/tt0110729/
60,207,Love Letter,7.9,1995,Miho Nakayama;Etsushi Toyokawa;Bunjaku Han;Katsuyuki Shinohara,Japanese,117,https://www.imdb.com//title/tt0113703/
61,221,Mimi wo sumaseba,7.9,1995,Yoko Honna;Issey Takahashi;Takashi Tachibana;Shigeru Muroi,Japanese,111,https://www.imdb.com//title/tt0113824/
62,211,Sai yau gei: Sin leui kei yun,8.0,1995,Stephen Chow;Man-Tat Ng;Athena Chu;Ada Choi,Cantonese,98,https://www.imdb.com//title/tt0114996/
63,229,Sling Blade,8.0,1996,Billy Bob Thornton;Dwight Yoakam;J.T. Walsh;John Ritter,English,135,https://www.imdb.com//title/tt0117666/
64,230,Secrets and Lies,8.0,1996,Timothy Spall;Brenda Blethyn;Phyllis Logan;Claire Rushbrook,English,136,https://www.imdb.com//title/tt0117589/
65,225,Trainspotting,8.1,1996,Ewan McGregor;Ewen Bremner;Jonny Lee Miller;Kevin McKidd,English,93,https://www.imdb.com//title/tt0117951/
66,239,Knockin' on Heaven's Door,7.9,1997,Til Schweiger;Jan Josef Liefers;Thierry van Werveke;Moritz Bleibtreu,German;English,87,https://www.imdb.com//title/tt0119472/
67,240,Brat,7.9,1997,Sergey Bodrov;Viktor Sukhorukov;Svetlana Pismichenko;Mariya Zhukova,Russian;English;French,96,https://www.imdb.com//title/tt0118767/
68,241,Border,7.9,1997,Sunny Deol;Suniel Shetty;Akshaye Khanna;Jackie Shroff,Hindi,176,https://www.imdb.com//title/tt0118751/
71,247,Gemide,8.0,1998,Erkan Can;Haldun Boysan;Yildiray Sahinler;Naci Tasdögen,Turkish,102,https://www.imdb.com//title/tt0200654/
69,246,Ajans-E Shisheh-I,7.8,1998,Parviz Parastui;Reza Kianian;Habib Rezaei;Qasem Zare,Persian,114,https://www.imdb.com//title/tt0177511/
70,258,Mia aioniotita kai mia mera,7.9,1998,Bruno Ganz;Isabelle Renauld;Fabrizio Bentivoglio;Ahilleas Skevis,Greek;English;Italian,137,https://www.imdb.com//title/tt0156794/
72,262,Wo de fu qin mu qin,7.8,1999,Ziyi Zhang;Honglei Sun;Hao Zheng;Yulian Zhao,Mandarin,89,https://www.imdb.com//title/tt0235060/
73,268,Todo sobre mi madre,7.9,1999,Cecilia Roth;Marisa Paredes;Candela Peña;Antonia San Juan,Spanish;Catalan,101,https://www.imdb.com//title/tt0185125/
74,269,Toy Story 2,7.9,1999,Tom Hanks;Tim Allen;Joan Cusack;Kelsey Grammer,English;Arabic;Spanish,92,https://www.imdb.com//title/tt0120363/
75,280,Brat 2,7.8,2000,Sergey Bodrov;Viktor Sukhorukov;Sergey Makovetskiy;Irina Saltykova,Russian;English;Ukrainian,122,https://www.imdb.com//title/tt0238883/
