title,rating,year,actors,runtime,languages,url
The Three Faces of Eve,7.2,1957,Joanne Woodward;David Wayne;Lee J. Cobb;Edwin Jerome,91,English,https://www.imdb.com//title/tt0051077/
Peyton Place,7.2,1957,Lana Turner;Lee Philips;Lloyd Nolan;Arthur Kennedy,157,English,https://www.imdb.com//title/tt0050839/
"Run Silent, Run Deep",7.3,1958,Clark Gable;Burt Lancaster;Jack Warden;Brad Dexter,93,English;Japanese,https://www.imdb.com//title/tt0052151/
"The Long, Hot Summer",7.3,1958,Paul Newman;Joanne Woodward;Anthony Franciosa;Orson Welles,115,English,https://www.imdb.com//title/tt0051878/
The Young Lions,7.2,1958,Marlon Brando;Montgomery Clift;Dean Martin;Hope Lange,167,English;French;German,https://www.imdb.com//title/tt0052415/
Shadows,7.2,1958,Ben Carruthers;Lelia Goldoni;Hugh Hurd;Anthony Ray,81,English,https://www.imdb.com//title/tt0053270/
Dracula,7.3,1958,Peter Cushing;Christopher Lee;Michael Gough;Melissa Stribling,82,English,https://www.imdb.com//title/tt0051554/
Our Man in Havana,7.2,1959,Alec Guinness;Maureen O'Hara;Burl Ives;Ernie Kovacs,103,English;Spanish,https://www.imdb.com//title/tt0054152/
Operatie Petticoat,7.2,1959,Cary Grant;Tony Curtis;Joan O'Brien;Dina Merrill,124,English,https://www.imdb.com//title/tt0053143/
Last Train from Gun Hill,7.3,1959,Kirk Douglas;Anthony Quinn;Carolyn Jones;Earl Holliman,95,English,https://www.imdb.com//title/tt0052993/
Doornroosje,7.3,1959,Mary Costa;Bill Shirley;Eleanor Audley;Verna Felton,75,English,https://www.imdb.com//title/tt0053285/
Het dagboek van Anne Frank,7.4,1959,Millie Perkins;Shelley Winters;Joseph Schildkraut;Richard Beymer,180,English;German,https://www.imdb.com//title/tt0052738/
Tirez sur le pianiste,7.4,1960,Charles Aznavour;Marie Dubois;Nicole Berger;Michèle Mercier,81,French;English,https://www.imdb.com//title/tt0054389/
De bruiden der Morlock monsters,7.5,1960,Rod Taylor;Alan Young;Yvette Mimieux;Sebastian Cabot,103,English,https://www.imdb.com//title/tt0054387/
Village of the Damned,7.3,1960,George Sanders;Barbara Shelley;Michael Gwynn;Laurence Naismith,77,English,https://www.imdb.com//title/tt0054443/
Pote tin Kyriaki,7.3,1960,Melina Mercouri;Jules Dassin;Giorgos Foundas;Titos Vandis,91,English;Greek;Russian,https://www.imdb.com//title/tt0054198/
Pollyanna,7.4,1960,Jane Wyman;Hayley Mills;Richard Egan;Karl Malden,134,English,https://www.imdb.com//title/tt0054195/
El Cid,7.2,1961,Charlton Heston;Sophia Loren;Raf Vallone;Geneviève Page,182,Italian;Arabic;English;Latin,https://www.imdb.com//title/tt0054847/
Een fijn stel dochters,7.2,1961,Hayley Mills;Maureen O'Hara;Brian Keith;Charles Ruggles,129,English,https://www.imdb.com//title/tt0055277/
The Misfits,7.2,1961,Clark Gable;Marilyn Monroe;Montgomery Clift;Thelma Ritter,125,English,https://www.imdb.com//title/tt0055184/
Een pyjama voor Twee,7.2,1961,Rock Hudson;Doris Day;Tony Randall;Edie Adams,107,English,https://www.imdb.com//title/tt0055100/
