title,rating,year,actors,runtime,url
Krótki film o zabijaniu,8.0,1988,Miroslaw Baka;Krzysztof Globisz;Jan Tesarz;Zbigniew Zapasiewicz,84,https://www.imdb.com//title/tt0095468/
Rain Man,8.0,1988,Dustin Hoffman;Tom Cruise;Valeria Golino;Gerald R. Molen,133,https://www.imdb.com//title/tt0095953/
Salaam Bombay!,8.0,1988,Shafiq Syed;Anjaan;Amrit Patel;Murari Sharma,113,https://www.imdb.com//title/tt0096028/
Krótki film o milosci,8.2,1988,Grazyna Szapolowska;Olaf Lubaszenko;Stefania Iwinska;Piotr Machalica,87,https://www.imdb.com//title/tt0095467/
Tonari no Totoro,8.2,1988,Hitoshi Takagi;Noriko Hidaka;Chika Sakamoto;Shigesato Itoi,86,https://www.imdb.com//title/tt0096283/
Akira,8.0,1988,Mitsuo Iwata;Nozomu Sasaki;Mami Koyama;Tesshô Genda,124,https://www.imdb.com//title/tt0094625/
Topio stin omihli,8.0,1988,Michalis Zeke;Tania Palaiologou;Stratos Tzortzoglou;Eva Kotamanidou,127,https://www.imdb.com//title/tt0096288/
Uçurtmayi Vurmasinlar,8.4,1989,Ozan Bilen;Nur Sürer;Füsun Demirel;Güzin Özipek,100,https://www.imdb.com//title/tt0098573/
Arabesk,8.1,1989,Sener Sen;Müjde Ar;Ugur Yücel;Necati Bilgiç,105,https://www.imdb.com//title/tt0263065/
Dead Poets Society,8.1,1989,Robin Williams;Robert Sean Leonard;Ethan Hawke;Josh Charles,128,https://www.imdb.com//title/tt0097165/
My Left Foot: The Story of Christy Brown,7.9,1989,Daniel Day-Lewis;Brenda Fricker;Alison Whelan;Kirsten Sheridan,103,https://www.imdb.com//title/tt0097937/
Crimes and Misdemeanors,7.9,1989,Martin Landau;Woody Allen;Bill Bernstein;Claire Bloom,104,https://www.imdb.com//title/tt0097123/
Kiki's vliegende koeriersdienst,7.9,1989,Kirsten Dunst;Minami Takayama;Rei Sakuma;Kappei Yamaguchi,103,https://www.imdb.com//title/tt0097814/
Indiana Jones and the Last Crusade,8.2,1989,Harrison Ford;Sean Connery;Alison Doody;Denholm Elliott,127,https://www.imdb.com//title/tt0097576/
Do the Right Thing,8.0,1989,Danny Aiello;Ossie Davis;Ruby Dee;Richard Edson,120,https://www.imdb.com//title/tt0097216/
Kireedam,8.9,1989,Mohanlal;Thilakan;Kaviyoor Ponnamma;Parvathi,124,https://www.imdb.com//title/tt0237376/
Oru Vadakkan Veeragatha,8.8,1989,Mammootty;Madhavi;Devan;Suresh Gopi,168,https://www.imdb.com//title/tt0230597/
Hamoun,8.0,1990,Pantea Bahram;Ezzatolah Entezami;Bita Farahi;Sedigheh Kianfar,120,https://www.imdb.com//title/tt0099729/
Dances with Wolves,8.0,1990,Kevin Costner;Mary McDonnell;Graham Greene;Rodney A. Grant,181,https://www.imdb.com//title/tt0099348/
Goodfellas,8.7,1990,Robert De Niro;Ray Liotta;Joe Pesci;Lorraine Bracco,146,https://www.imdb.com//title/tt0099685/
Nema-ye Nazdik,8.3,1990,Hossain Sabzian;Mohsen Makhmalbaf;Abolfazl Ahankhah;Mehrdad Ahankhah,98,https://www.imdb.com//title/tt0100234/
Edward Scissorhands,7.9,1990,Johnny Depp;Winona Ryder;Dianne Wiest;Anthony Michael Hall,105,https://www.imdb.com//title/tt0099487/
Belle en het Beest,8.0,1991,Paige O'Hara;Robby Benson;Jesse Corti;Rex Everhart,84,https://www.imdb.com//title/tt0101414/
Da hong deng long gao gao gua,8.1,1991,Gong Li;Jingwu Ma;Saifei He;Cuifen Cao,125,https://www.imdb.com//title/tt0101640/
